Date,Meeting,Mayor,Bell,Bretherton,Christie,Cutforth,Deeming,Glen,Halse,Hermon,Innes,Martin,McLachlan,Morgan,Williamson
9 March 2016,20/20 Inner City Revitalisation Committee,1,0,,0.5,0.5,1,1,1,1,1,,1,1,1
24 November 2015,20/20 Inner City Revitalisation Committee,1,0,,,,,1,1,1,1,,1,1,1
6 October 2015,20/20 Inner City Revitalisation Committee,1,0,,1,,,1,1,1,1,,1,1,1
5 August 2015,20/20 Inner City Revitalisation Committee,1,0,,,,,1,1,1,0,,1,1,1
30 April 2015,20/20 Inner City Revitalisation Committee,1,0,,1,,,1,1,1,1,,1,1,1
18 February 2015,20/20 Inner City Revitalisation Committee,1,1,,,,,,1,1,1,,1,1,
18 September 2014,20/20 Inner City Revitalisation Committee,1,1,1,,1,1,1,1,1,1,,0,1,
18 June 2014,20/20 Inner City Revitalisation Committee,1,1,1,,,1,1,1,1,1,,1,1,1
20 February 2014,20/20 Inner City Revitalisation Committee,1,1,1,,1,1,,1,0,1,1,1,,1
11 December 2013,20/20 Inner City Revitalisation Committee,1,1,0.5,,0.5,1,,1,1,1,,0.5,1,1
31 March 2016,Audit and Risk Committee,1,,,,,1,1,,1,1,,,1,1
2 December 2015,Audit and Risk Committee,1,,,,,1,1,,1,1,,,1,1
2 September 2015,Audit and Risk Committee,1,,,,,1,1,,,1,,,1,1
3 June 2015,Audit and Risk Committee,1,,,,,0.5,1,,,1,,,1,1
16 December 2014,Audit and Risk Committee,0,,,,,1,1,1,1,,,,1,1
11 June 2014,Audit and Risk Committee,1,1,,,,1,1,,,1,,,1,1
4 March 2014,Audit and Risk Committee,1,,,,,1,,,,,,,1,0
11 May 2016,Community Funding Subcommittee,1,,,,,1,1,1,,1,1,0.5,,
13 April 2016,Community Funding Subcommittee,1,,,,,1,1,1,,1,1,1,,
9 March 2016,Community Funding Subcommittee,1,,1,,0.5,1,1,,0.5,0.5,1,1,,
9 December 2015,Community Funding Subcommittee,1,,,,,1,1,,,,1,0,,
11 November 2015,Community Funding Subcommittee,1,,,,,1,0,,,,1,1,,
9 September 2015,Community Funding Subcommittee,1,,,,,1,1,,0.5,1,1,1,0.5,
13 May 2015,Community Funding Subcommittee,0,,,,,1,1,,,,1,1,,
8 April 2015,Community Funding Subcommittee,1,,,,,1,1,,,,1,1,,
11 March 2015,Community Funding Subcommittee,1,,,,,1,0,0.5,,,1,1,,
12 November 2014,Community Funding Subcommittee,1,,,,,1,1,,,1,1,1,,
10 September 2014,Community Funding Subcommittee,1,,,,,1,1,,,,1,1,,
11 June 2014,Community Funding Subcommittee,0,,,,,1,1,,,1,1,1,,
14 May 2014,Community Funding Subcommittee,1,,,,,1,1,,,1,1,1,,
9 April 2014,Community Funding Subcommittee,1,,,,,1,1,,,1,1,0,1,
12 March 2014,Community Funding Subcommittee,1,,,,,1,1,,,1,1,0,1,
29 April 2015,Exemptions and Objections Committee,0,,,,,1,1,,,1,,,,1
10 February 2015,Exemptions and Objections Committee,0,,,,,1,1,,,1,,,,1
3 December 2014,Exemptions and Objections Committee,0,,,,,1,1,,,1,,,,0
14 June 2016,Extra-ordinary Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24 May 2016,Extra-ordinary Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19 May 2016,Extra-ordinary Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18 May 2016,Extra-ordinary Whangarei District Council,1,0,1,1,0.5,1,1,1,1,1,1,1,1,1
17 May 2016,Extra-ordinary Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17 March 2016,Extra-ordinary Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3 March 2016,Extra-ordinary Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3 February 2016,Extra-ordinary Whangarei District Council,1,0,1,1,1,1,1,1,1,1,1,1,1,1
8 September 2015,Extra-ordinary Whangarei District Council,1,1,0,0.5,1,1,1,0,1,0,1,1,1,1
3 August 2015,Extra-ordinary Whangarei District Council,1,1,1,0,1,0,1,1,1,0,0,0.5,1,1
30 July 2015,Extra-ordinary Whangarei District Council,1,1,0,0,1,0.5,1,1,1,0,1,0.5,1,1
29 July 2015,Extra-ordinary Whangarei District Council,1,1,1,1,1,1,0,1,1,1,1,1,0,1
11 June 2015,Extra-ordinary Whangarei District Council,1,1,0,1,1,1,1,1,1,0.5,1,1,1,1
19 May 2015,Extra-ordinary Whangarei District Council,1,0,1,0.5,1,1,1,1,1,1,1,1,1,1
18 May 2015,Extra-ordinary Whangarei District Council,1,1,1,0.5,1,1,1,0.5,1,0,1,1,1,0.5
15 May 2015,Extra-ordinary Whangarei District Council,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1
14 May 2015,Extra-ordinary Whangarei District Council,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1
13 April 2015,Extra-ordinary Whangarei District Council,1,1,1,1,0,1,1,1,1,1,1,1,1,1
19 March 2015,Extra-ordinary Whangarei District Council,1,1,0,0,1,1,1,1,1,1,1,1,1,1
12 November 2014,Extra-ordinary Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31 October 2014,Extra-ordinary Whangarei District Council,1,0,1,1,1,1,1,1,1,0,1,1,1,1
30 September 2014,Extra-ordinary Whangarei District Council,1,1,0.5,1,1,1,1,1,1,1,1,1,0,1
9 September 2014,Extra-ordinary Whangarei District Council,1,1,1,0,0.5,1,0.5,0,1,1,1,1,1,1
30 July 2014,Extra-ordinary Whangarei District Council,1,1,1,1,0,0.5,0,1,0.5,1,1,0.5,1,1
17 July 2014,Extra-ordinary Whangarei District Council,1,0,1,1,0,1,1,1,1,1,1,1,1,1
11 June 2014,Extra-ordinary Whangarei District Council,1,1,0,1,0,1,1,1,1,1,1,1,1,1
4 June 2014,Extra-ordinary Whangarei District Council,1,0,1,1,1,1,1,1,1,1,0.5,1,1,1
22 May 2014,Extra-ordinary Whangarei District Council,1,1,0.5,0.5,1,1,0,1,1,1,1,1,1,1
14 May 2014,Extra-ordinary Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
13 May 2014,Extra-ordinary Whangarei District Council,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5
