Date,Meeting,Mayor,Bell,Bretherton,Christie,Cutforth,Deeming,Glen,Halse,Hermon,Innes,Martin,McLachlan,Morgan,Williamson
25 May 2016,Finance Committee,1,1,1,1,1,1,1,0,1,1,1,1,1,1
11 May 2016,Infrastructure Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11 May 2016,Planning Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27 April 2016,Finance Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13 April 2016,Infrastructure Committee,1,0,0,1,1,1,1,1,1,1,1,1,1,1
13 April 2016,Planning Committee,1,0,0,1,1,1,1,1,1,1,1,1,1,1
23 March 2016,Finance Committee,1,1,1,1,1,1,1,1,1,0,1,1,1,1
9 March 2016,Infrastructure Committee,1,0,1,1,1,1,1,1,1,1,1,1,0,1
9 March 2016,Planning Committee,1,0,1,1,1,1,1,0,1,1,1,1,1,1
24 February 2016,Finance Committee,1,1,1,1,0,1,1,1,1,1,1,1,1,1
10 February 2016,Infrastructure Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 February 2016,Planning Committee,1,0,1,1,1,1,1,0,1,1,1,1,1,1
16 December 2015,Finance Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9 December 2015,Infrastructure Committee,1,1,1,1,1,1,1,1,1,1,1,0,1,1
9 December 2015,Planning Committee,1,1,1,1,1,1,1,1,1,1,1,0,1,1
25 November 2015,Finance Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,0
11 November 2015,Infrastructure Committee,1,0,1,1,1,1,1,0.5,1,1,1,1,1,1
11 November 2015,Planning Committee,0,0,1,1,1,1,1,0.5,1,1,1,1,1,1
28 October 2015,Finance Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
14 October 2015,Infrastructure Committee,0,1,1,1,1,1,1,1,1,1,1,1,1,1
14 October 2015,Planning Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23 September 2015,Finance Committee,1,1,0,1,1,1,1,0,1,1,1,1,1,1
9 September 2015,Infrastructure Committee,1,0.5,0,1,1,1,1,0,1,1,1,1,1,1
9 September 2015,Planning Committee,1,1,0,1,1,1,1,0,1,1,1,1,1,1
26 August 2015,Finance Committee,1,1,1,0,1,1,1,1,0,1,1,1,1,1
12 August 2015,Infrastructure Committee,1,1,1,0,1,1,1,1,1,1,1,1,1,1
12 August 2015,Planning Committee,1,1,1,0,1,1,1,1,1,1,1,1,1,1
22 July 2015,Finance Committee,1,1,0,0,1,1,1,1,1,0,1,1,1,1
8 July 2015,Infrastructure Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,0
8 July 2015,Planning Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,0
24 June 2015,Finance Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 June 2015,Infrastructure Committee,1,0,0,1,1,1,1,1,1,0,1,1,1,1
10 June 2015,Planning Committee,1,0,0,1,1,1,1,1,1,0,1,1,1,1
27 May 2015,Finance Committee,1,0,1,1,1,1,1,1,1,1,1,1,1,1
13 May 2015,Infrastructure Committee,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1
13 May 2015,Planning Committee,1,0,0,1,0,1,0,0,1,1,1,1,1,0
22 April 2015,Finance Committee,1,1,1,0,1,1,1,1,1,1,1,0,1,1
8 April 2015,Infrastructure Committee,1,1,1,1,1,1,1,1,1,0,1,1,1,0
8 April 2015,Planning Committee,1,1,1,1,1,1,1,1,1,0,1,1,1,0
25 March 2015,Finance Committee,1,1,0,1,0.5,1,1,1,1,1,1,1,1,1
11 March 2015,Infrastructure Committee,1,1,0,0,1,1,0,1,1,1,1,1,1,1
11 March 2015,Planning Committee,0.5,0,0,0,1,1,0,1,1,1,1,1,1,1
25 February 2015,Finance Committee,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1
11 February 2015,Infrastructure Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11 February 2015,Planning Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17 December 2014,Finance Committee,0,0,0,1,0.5,1,1,1,1,0,1,1,1,1
10 December 2014,Infrastructure Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 December 2014,Planning Committee,1,1,1,1,1,1,1,0,1,1,1,1,1,1
26 November 2014,Finance Committee,0,1,1,1,1,1,1,1,1,1,1,1,1,1
12 November 2014,Infrastructure Committee,1,0,1,1,1,1,1,1,1,1,1,1,1,1
12 November 2014,Planning Committee,1,0,1,1,1,1,1,1,1,1,1,1,1,1
22 October 2014,Finance Committee,1,1,0,1,1,1,1,1,1,1,1,1,1,1
8 October 2014,Infrastructure Committee,1,1,1,1,1,1,1,1,0,0,1,1,1,1
8 October 2014,Planning Committee,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1
24 September 2014,Finance Committee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 September 2014,Infrastructure Committee,1,0,1,1,0.5,1,1,0,1,1,1,1,1,1
10 September 2014,Planning Committee,1,0,1,1,1,1,1,0,1,1,1,1,1,1
