X,Y,Society Name,Machines,Site Name,Full Addre,Site Addre,Town,Country,Territoria,addrtype,addrlocat
168.3594857,-46.4109455,2nd NZEF Association (Southland Branch) Inc.,9,2nd NZEF Association (Southland Branch) Inc,177 Don Street Invercargill,177 Don Street,Invercargill,NZ,Invercargill City,street_address,ROOFTOP
174.7972598,-36.9698867,Active's Charitable Trust,18,Mangere Tavern,50 Orly Avenue Mangere,50 Orly Avenue,Mangere,NZ,Manukau City,street_address,RANGE_INTERPOLATED
174.8454683,-36.9438511,Active's Charitable Trust,10,Steamboat Restaurant & Bar,66 Atkinson Avenue Otahuhu,66 Atkinson Avenue,Otahuhu,NZ,Manukau City,street_address,ROOFTOP
174.8746394,-36.9602378,Active's Charitable Trust,18,Tradewinds Tavern,128 Bairds Road Otara,128 Bairds Road,Otara,NZ,Manukau City,street_address,ROOFTOP
174.7780791,-41.3052601,Adelaide Sports & Charity Foundation,6,The Adelaide Hotel,114 Adelaide Road Newtown,114 Adelaide Road,Newtown,NZ,Wellington City,street_address,ROOFTOP
174.7752228,-41.2949869,Adelaide Sports & Charity Foundation,6,Tiffanys  Cabaret,143-145 Vivian Street Wellington,143-145 Vivian Street,Wellington,NZ,Wellington City,subpremise,ROOFTOP
171.8635487,-42.1195268,Ahaura/Grey Valley Lions Club Inc,8,Hotel Reefton,Broadway Reefton,Broadway,Reefton,NZ,Buller District,route,GEOMETRIC_CENTER
171.8649708,-42.1169536,Ahaura/Grey Valley Lions Club Inc,8,Inangahua Arms Hotel,172 Buller Road Reefton,172 Buller Road,Reefton,NZ,Buller District,street_address,ROOFTOP
171.7274507,-42.180916,Ahaura/Grey Valley Lions Club Inc,2,Mawheraiti Hotel,State Highway 7 Mawheraiti,State Highway 7,Mawheraiti,NZ,Buller District,route,GEOMETRIC_CENTER
171.5408605,-42.3477167,Ahaura/Grey Valley Lions Club Inc,2,Ahaura Hotel,Clifton Street Ahaura,Clifton Street,Ahaura,NZ,Grey District,route,GEOMETRIC_CENTER
