Name,Grade,Rank,Address,Published,XCOORD,YCOORD
4's Kebab, Grade A+ ,," Vine Street, Whangarei ", Nov-14,174.319283,-35.725673
A Deco, Grade A ,," 70 Kamo Road, Kensington, Whangarei ", Jun-14,174.32125,-35.707389
Ace Catering, Grade A+ ,," 6 Porowini Avenue, Whangarei ", May-13,174.316056,-35.729617
A'Courts, Grade A,," 88 Austin Road, Maunu, Whangarei", Sep-14,174.271622,-35.752044
Adriatic Fisheries, Grade A,," 91 Kamo Road, Kensington, Whangarei", Apr-15,174.321635,-35.709176
A'fare Function & Reception Lounge, Grade A+ ,," 197 Lower Dent Street, Whangarei ", Dec-14,174.330972,-35.72838
Airport Cafe, Grade A+,," Whangarei Airport, 59 Handforth Street, Onerahi, Whangarei", Sep-14,174.364724,-35.767318
Almy Inspiration, Grade A+,," 28 Dune Lake Place, Ruakaka", Jul-14,174.45709,-35.887743
Annie's Lunch Bar, Grade A+ ,," 14 Hewlett Road, Whangarei ", Nov-14,174.343771,-35.741554
Aotea Macadamias, Grade A,," 322 Glenmohr Road, Waipu", Sep-14,174.434204,-36.040613
Apotams, Grade A,," 66A Smithville Road, Kamo, Whangarei", Apr-15,174.275826,-35.696885
Apprentice Cafe, Grade A+ ,," Dyer Street, Whangarei ", Jun-14,174.31333,-35.755129
Apprentice Restaurant, Grade A+ ,," 49 Raumanga Valley Road, Whangarei ", Jun-14,174.306077,-35.740333
Asahi Japanese  Restaurant, Grade A+,," 43 Vine Street, Whangarei", Apr-15,174.318983,-35.725617
Asahi Sushi Bar, Grade A+ ,," 24 Cameron Street, Whangarei ", May-14,174.32005,-35.725158
Bacio, Grade A+,," 31 Bank Street, Whangarei", Aug-14,174.319246,-35.725245
Bank St Lunchbar &  Takeaways, Grade A+,," 81 Bank Street, Whangarei", Sep-14,174.319879,-35.723118
Bank St Social Club, Grade A+,," 69 Bank Street, Whangarei", Sep-14,174.319554,-35.723815
Beks Bites Catering, Grade A+ ,," 475 Kamo Road, Kamo, Whangarei ", Jun-14,174.301638,-35.685021
Big Tomato Bakery, Grade A+,," 163 Port Marsden Highway, Ruakaka", Sep-14,174.436189,-35.878006
Big Tomato Fruit &  Vege, Grade A,," 143 Port Marsden Highway, Ruakaka", Jul-14,174.435798,-35.880258
Bin Inn Kamo, Grade A+ ,," 386 Kamo Road, Kamo, Whangarei ", Jun-14,174.301464,-35.683869
Bin Inn Whangarei, Grade A+ ,," 75 Walton Street, Whangarei ", Jun-14,174.323348,-35.725071
Black Stag, Grade A,," 1024 Cove Road, Waipu", Aug-14,174.515306,-36.042811
Blue Heron Holiday  Park, Grade A,," 85 Scott Road, Parua Bay, Whangarei", Feb-15,174.419725,-35.783366
Body Fuel, Grade A+ ,," 93 Walton Street, Whangarei ", Dec-14,174.323907,-35.72481
Boon's Bakery & Cafe, Grade A+,," 483 Kamo Road, Kamo, Whangarei", Sep-14,174.301318,-35.684412
BP2GO Whakapara, Grade A,," 1609 Statehighway 1, Whakapara, Whangarei", Aug-14,174.277656,-35.546932
Brain Injury  Association Northland  Inc, Grade A,," 98 Cairnfield Road, Otangarei, Whangarei", Oct-14,174.321552,-35.697488
Bream Bay  Takeaways, Grade A+,," 378 Marsden Point Road, Ruakaka", Aug-14,174.455731,-35.874238
Bream Bay Service Station, Grade A ,," 2618 State Highway 1, Ruakaka ", May-13,174.433895,-35.892694
Bream Bay Takeaways, Grade A+ ,," 378 Marsden Point Road, Ruakaka, Whangarei ", Aug-13,174.455731,-35.874238
Bright Bakery & Coffee  Shop, Grade A+,," 8 Cameron Street, Whangarei", Mar-15,174.319935,-35.724867
Cafe Botanix, Grade A,," 58 Water Street, Whangarei", Feb-14,174.317199,-35.726723
Cafe Divine Lunchbar, Grade A+ ,," 16 Porowini Avenue, Whangarei ", Nov-14,174.317911,-35.730636
Cafe in the Park, Grade A+,," 92 Otaika Road, Whangarei", Dec-13,174.310084,-35.738188
Cafe Narnia, Grade A,," 74 Kamo Road, Kensington, Whangarei", Sep-14,174.320569,-35.706659
Cafe North, Grade A+ ,," Marsden Point Road, Ruakaka, Whangarei ", May-14,174.453613,-35.879439
Cafe North New  Zealand Refining, Grade A+,," Port Marsden Highway, Ruakaka, Whangarei", Apr-15,174.452227,-35.863356
Caffeine Espresso  Cafe, Grade A+,," 4 Water Street, Whangarei", Aug-14,174.318778,-35.725773
Caketin Love, Grade A+ ,," 950 State Highway 1, Oakleigh, Whangarei ", Nov-14,174.29443,-35.807966
Caledonia Dairy, Grade B+,," 32 The Centre, Waipu, Whangarei", Apr-15,174.445557,-35.984383
Caltex Western Hills, Grade A,," 303 Western Hills Drive, Whangarei", Mar-13,174.315813,-35.717029
Caltex Whangarei, Grade A ,," 15 Lower Tarewa Road, Whangarei ", Jun-13,174.318646,-35.728727
Cameron St Dairy, Grade A,," 68 Cameron Street, Whangarei", Mar-15,174.322179,-35.726632
Captain's Takeaways, Grade A ,," 78C Station Road, Kamo, Whangarei ", Dec-14,174.309975,-35.677774
Carruth House:  Whangarei Boys' High  School, Grade A+,," 10 Kent Street, Whangarei", Mar-14,174.317832,-35.715588
Charlies, Grade A+,," 66 Rewa Rewa Road, Whangarei", Mar-15,174.318061,-35.752834
Charlies Bakery, Grade A+,," Kamo Road, Kamo, Whangarei", Jul-14,174.301837,-35.685027
Chill Cafe, Grade A+ ,," 11 Rathbone Street, Whangarei ", Aug-13,174.320763,-35.724415
Chipmunks, Grade A+ ,," 3 Woods Road, Whangarei ", May-14,174.321762,-35.729407
Choice Blocks, Grade A,," Shop 1, 1375 Whangarei Heads Road, Parua Bay, Whangarei", Feb-15,174.420743,-35.778535
Coalminer's Daughter  Bar & Grill, Grade A+,," 2 Station Road, Kamo, Whangarei", Sep-14,174.300719,-35.681825
Cobe Coffee, Grade A,," 70 Maunu Road, Whangarei", Mar-15,174.312177,-35.730527
Cuppacakes, Grade A ,," Whangarei Golf Course, Denby Crescent, Tikipunga, Whangarei ", Dec-14,174.318101,-35.685876
Daffodil Dairy, Grade A ,," 45 Maunu Road, Whangarei ", Jun-14,174.312558,-35.730706
Daisy Cupcake, Grade A+,," 7 Bank Street, Whangarei", Apr-15,174.319162,-35.72697
De La Rei, Grade A,," 4 John Street, Whangarei", Mar-15,174.321893,-35.725929
Deep Sea Bar & Grill, Grade A+,," 163 Port Marsden Highway, Ruakaka, Whangarei", Sep-13,174.436189,-35.878006
Deli Marche Cafe, Grade A+,," 151 Maunu Road, Maunu, Whangarei", Mar-15,174.302104,-35.73457
Deli Roast, Grade A,," 1/95 Kamo Road, Kensington, Whangarei", Apr-15,174.321575,-35.708895
DeliMarche, Grade A+,," 151 Otaika Road, W hangarei", Mar-14,174.308587,-35.742644
Deluca Cafe, Grade A+,," 6-8 Bank Street, Whangarei", Jul-14,174.319136,-35.726302
Denby Caterers, Grade A+,," Tikipunga Soccer Club, Reed Street, Tikipunga, Whangarei", Aug-14,174.332427,-35.681531
Denby Dairy, Grade B,," 179 Kiripaka Road, Tikipunga, Whangarei", Aug-14,174.326617,-35.68659
Destination Dairy, Grade A ,," 1 Ewing Road, Whangarei ", Jun-13,174.32591,-35.722368
Diamond Takeaways, Grade A+,," 1 Spedding Road, Tikipunga, Whangarei", Oct-14,174.326478,-35.68656
Dickens Inn, Grade A+,," 71 Cameron Street, Whangarei", Apr-15,174.320852,-35.726066
